CMDLINE /home/lippincm/miniforge3/envs/GFF_featurization/bin/python3.12 granularity.py
MEM 2477.929688 1742497230.9540
MEM 2477.929688 1742497231.0552
MEM 2477.929688 1742497231.1566
MEM 2477.929688 1742497231.2594
MEM 2477.929688 1742497231.3602
MEM 2477.929688 1742497231.4614
MEM 2477.929688 1742497231.5628
MEM 2477.929688 1742497231.6646
MEM 2477.929688 1742497231.7664
MEM 2477.929688 1742497231.8675
MEM 2477.929688 1742497231.9689
MEM 2477.929688 1742497232.0697
MEM 2477.929688 1742497232.1709
MEM 2477.929688 1742497232.2729
MEM 2477.929688 1742497232.3744
MEM 2477.929688 1742497232.4757
MEM 2477.929688 1742497232.5770
MEM 2477.929688 1742497232.6784
MEM 2477.929688 1742497232.7791
MEM 2477.929688 1742497232.8838
MEM 2477.929688 1742497232.9879
MEM 2477.929688 1742497233.0890
MEM 2477.929688 1742497233.1904
MEM 2477.929688 1742497233.2919
MEM 2477.929688 1742497233.3927
MEM 2477.929688 1742497233.4934
MEM 2477.929688 1742497233.5953
MEM 2477.929688 1742497233.6962
MEM 2477.929688 1742497233.7993
MEM 2477.929688 1742497233.9013
MEM 2477.929688 1742497234.0021
MEM 2477.929688 1742497234.1034
MEM 2477.929688 1742497234.2043
MEM 2477.929688 1742497234.3082
MEM 2477.929688 1742497234.4112
MEM 2477.929688 1742497234.5158
MEM 2477.929688 1742497234.6186
MEM 2477.929688 1742497234.7194
MEM 2477.929688 1742497234.8226
MEM 2489.851562 1742497234.9253
MEM 2507.851562 1742497235.0264
MEM 2517.996094 1742497235.1271
MEM 2537.996094 1742497235.2291
MEM 2558.546875 1742497235.3333
MEM 2616.546875 1742497235.4342
MEM 2552.535156 1742497235.5361
MEM 1882.117188 1742497235.6379
MEM 1882.117188 1742497235.7395
MEM 1914.167969 1742497235.8408
MEM 1976.218750 1742497235.9417
MEM 2032.328125 1742497236.0428
MEM 2103.382812 1742497236.1441
MEM 2137.570312 1742497236.2456
MEM 2153.363281 1742497236.3477
MEM 2167.566406 1742497236.4515
MEM 2169.066406 1742497236.5562
MEM 2088.878906 1742497236.6572
MEM 2242.878906 1742497236.7616
MEM 2352.914062 1742497236.8623
MEM 2456.914062 1742497236.9631
MEM 2557.023438 1742497237.0638
MEM 2619.335938 1742497237.1656
MEM 2642.023438 1742497237.2692
MEM 2663.773438 1742497237.3719
MEM 2691.335938 1742497237.4729
MEM 2718.523438 1742497237.5749
MEM 2742.898438 1742497237.6778
MEM 2765.960938 1742497237.7785
MEM 2794.648438 1742497237.8801
MEM 2819.960938 1742497237.9811
MEM 2842.835938 1742497238.0820
MEM 2875.460938 1742497238.1839
MEM 2899.835938 1742497238.2858
